fish,block,lake,sample_date,trap,dip_tot,hemip_tot,cole_tot,trichop,ephem,total,data_flag
0,2,H2A,14-Jul-19,N-littoral,3,2,0,0,0,5,n
0,2,H2A,14-Jul-19,SW,0,0,0,0,0,0,n
1,2,H2P,14-Jul-19,Trap 1,1,0,0,0,0,1,y
1,2,H2P,14-Jul-19,Trap 2,1,0,0,0,0,1,y
1,2,H2P,14-Jul-19,Trap 3,4,0,0,0,0,4,n
0,1,H1A,17-Jul-19,E-littoral,6,2,0,0,0,8,n
0,1,H1A,17-Jul-19,NW,1,0,0,0,0,1,y
0,1,H1A,17-Jul-19,SE. 3,3,0,0,0,0,3,n
0,1,H1A,17-Jul-19,S-littoral,5,0,0,0,0,5,n
1,1,H1P,18-Jul-19,1 litt,1,0,0,0,0,1,n
1,1,H1P,18-Jul-19,2 litt,3,0,0,0,0,3,n
1,1,H1P,18-Jul-19,3 litt,0,0,0,0,0,0,n
0,2,H2A,23-Jul-19,NW (3),0,0,0,0,0,0,n
0,2,H2A,23-Jul-19,S (4),0,0,0,0,0,0,n
0,2,H2A,23-Jul-19,SW-littoral,1,0,0,0,0,1,n
0,2,H2A,23-Jul-19,W-littoral,1,0,0,0,0,1,n
1,2,H2P,23-Jul-19,S1 emerg trap,1,0,0,0,0,1,y
1,2,H2P,23-Jul-19,S2-emerg.,4,0,0,0,0,4,n
1,2,H2P,23-Jul-19,SE,1,0,0,0,0,1,n
1,2,H2P,23-Jul-19,SW,2,0,0,0,0,2,n
0,1,H1A,25-Jul-19,E-littoral,3,0,0,0,0,3,n
0,1,H1A,25-Jul-19,N-littoral,16,0,0,0,0,16,n
0,1,H1A,25-Jul-19,S-littoral,1,0,0,0,0,1,n
0,1,H1A,25-Jul-19,W-littoral,1,0,0,0,0,1,n
1,1,H1P,25-Jul-19,E1,1,0,0,0,0,1,n
1,1,H1P,25-Jul-19,S1,2,0,0,0,0,2,n
1,1,H1P,25-Jul-19,SW1,4,0,0,0,0,4,n
1,1,H1P,25-Jul-19,SW2,1,0,0,0,0,1,n
0,3,H3A,1-Aug-19,E-littoral,10,0,0,3,0,13,n
0,3,H3A,1-Aug-19,E-shore,4,0,0,0,1,5,y
0,3,H3A,1-Aug-19,N-littoral,12,0,0,0,0,12,n
0,3,H3A,1-Aug-19,NW-shore,15,2,0,1,3,21,y
0,3,H3A,1-Aug-19,S-shore,7,0,0,1,0,8,y
0,3,H3A,1-Aug-19,W,5,0,0,0,0,5,n
1,3,H3P,1-Aug-19,E-littoral,1,0,0,0,0,1,n
1,3,H3P,1-Aug-19,N-littoral,7,0,0,0,0,7,y
1,3,H3P,1-Aug-19,S-littoral,15,0,0,0,0,15,n
1,3,H3P,1-Aug-19,W-littoral,2,0,0,0,0,2,n
0,2,H2A,3-Aug-19,E-littoral,4,0,0,0,0,4,n
0,2,H2A,3-Aug-19,E-shore,7,3,0,0,0,10,n
0,2,H2A,3-Aug-19,N-littoral,6,0,0,0,0,6,n
0,2,H2A,3-Aug-19,N-shore,3,0,0,0,0,3,n
0,2,H2A,3-Aug-19,S-littoral,14,0,0,0,0,14,y
0,2,H2A,3-Aug-19,S-shore,14,2,0,0,0,16,n
0,2,H2A,3-Aug-19,W-littoral,30,1,0,0,0,31,n
0,2,H2A,3-Aug-19,W-shore,3,1,0,0,0,4,n
1,2,H2P,3-Aug-19,E-littoral,21,1,0,0,0,22,n
1,2,H2P,3-Aug-19,E-shore,12,1,0,0,0,13,n
1,2,H2P,3-Aug-19,N-littoral,22,0,0,0,0,22,n
1,2,H2P,3-Aug-19,N-shore,20,0,0,0,0,20,n
1,2,H2P,3-Aug-19,S-littoral,32,0,0,0,0,32,n
1,2,H2P,3-Aug-19,S-shore,12,0,0,0,0,12,n
1,2,H2P,3-Aug-19,W,15,0,0,0,0,15,n
1,2,H2P,3-Aug-19,W-shore,10,0,0,0,0,10,n
0,1,H1A,4-Aug-19,E-littoral,15,0,0,0,0,15,n
0,1,H1A,4-Aug-19,E-shore,8,2,0,0,0,10,n
0,1,H1A,4-Aug-19,N-littoral,25,0,0,0,0,25,n
0,1,H1A,4-Aug-19,N-shore,3,0,0,0,0,3,n
0,1,H1A,4-Aug-19,S-littoral,6,0,0,0,0,6,n
0,1,H1A,4-Aug-19,S-shore,16,0,0,0,0,16,n
0,1,H1A,4-Aug-19,W-littoral,12,0,0,0,0,12,n
0,1,H1A,4-Aug-19,W-shore,0,0,0,0,0,0,n
1,1,H1P,4-Aug-19,E-littoral,4,0,0,0,0,4,n
1,1,H1P,4-Aug-19,N-littoral,2,0,0,0,0,2,n
1,1,H1P,4-Aug-19,W-littoral,4,0,0,0,0,4,y
0,2,H2A,9-Aug-19,E-littoral,47,0,0,0,0,47,n
0,2,H2A,9-Aug-19,E-shore,26,1,0,0,1,28,n
0,2,H2A,9-Aug-19,N-littoral,10,0,0,0,0,10,n
0,2,H2A,9-Aug-19,N-shore,1,0,0,0,0,1,n
0,2,H2A,9-Aug-19,S-littoral,19,0,0,0,0,19,n
0,2,H2A,9-Aug-19,S-shore,31,0,0,0,1,32,y
0,2,H2A,9-Aug-19,W-littoral,2,0,0,0,0,2,n
1,2,H2P,9-Aug-19,E-shore,3,0,0,0,0,3,n
1,2,H2P,9-Aug-19,N-littoral,3,0,0,0,0,3,n
1,2,H2P,9-Aug-19,N-shore,2,0,0,0,0,2,n
1,2,H2P,9-Aug-19,S-littoral,4,0,0,0,0,4,n
1,2,H2P,9-Aug-19,S-shore,3,0,0,0,0,3,y
1,2,H2P,9-Aug-19,W-littoral,13,0,0,0,0,13,n
0,3,H3A,10-Aug-19,E-littoral,3,0,0,0,0,3,n
0,3,H3A,10-Aug-19,E-shore,15,0,0,0,0,15,n
0,3,H3A,10-Aug-19,N-littoral,5,0,0,0,0,5,n
0,3,H3A,10-Aug-19,N-shore,9,0,0,0,0,9,n
0,3,H3A,10-Aug-19,S-littoral,3,0,0,0,0,3,n
0,3,H3A,10-Aug-19,S-shore,0,0,0,0,0,0,n
0,3,H3A,10-Aug-19,W-littoral,3,0,0,0,0,3,n
0,3,H3A,10-Aug-19,W-shore,0,0,0,1,0,1,n
1,3,H3P,10-Aug-19,E-shore,1,0,0,0,0,1,n
1,3,H3P,10-Aug-19,N-shore,0,0,0,2,0,2,n
1,3,H3P,10-Aug-19,S-littoral,1,0,0,0,0,1,n
1,3,H3P,10-Aug-19,S-shore,1,0,0,0,0,1,y
1,3,H3P,10-Aug-19,W-littoral,1,0,0,0,0,1,y
0,1,H1A,16-Aug-19,E-littoral,190,3,0,0,0,193,n
0,1,H1A,16-Aug-19,E-shore,19,1,0,0,1,21,n
0,1,H1A,16-Aug-19,N-littoral,1,0,0,0,0,1,n
0,1,H1A,16-Aug-19,N-shore,2,1,0,0,0,3,n
0,1,H1A,16-Aug-19,S-littoral,31,1,0,0,0,32,n
0,1,H1A,16-Aug-19,S-shore,3,0,0,1,0,4,n
0,1,H1A,16-Aug-19,W-littoral,28,6,0,0,0,34,n
0,1,H1A,16-Aug-19,W-shore,20,5,0,5,1,31,y
1,1,H1P,16-Aug-19,E-littoral,10,0,0,0,0,10,n
1,1,H1P,16-Aug-19,E-shore,8,0,0,0,0,8,n
1,1,H1P,16-Aug-19,N-littoral,21,0,0,0,0,21,n
1,1,H1P,16-Aug-19,N-shore,3,8,0,0,0,11,n
1,1,H1P,16-Aug-19,S-littoral,9,2,0,0,0,11,n
1,1,H1P,16-Aug-19,S-shore,6,0,1,0,0,7,n
1,1,H1P,16-Aug-19,W-littoral,52,2,0,0,0,54,y
1,1,H1P,16-Aug-19,W-shore,1,10,0,0,0,11,n
0,3,H3A,17-Aug-19,E-littoral,5,1,0,0,0,6,n
0,3,H3A,17-Aug-19,E-shore,0,2,0,0,0,2,n
0,3,H3A,17-Aug-19,N-littoral,38,0,0,0,0,38,n
0,3,H3A,17-Aug-19,N-shore,8,1,0,0,0,9,y
0,3,H3A,17-Aug-19,S-littoral,2,0,0,0,0,2,n
0,3,H3A,17-Aug-19,S-shore,7,0,0,0,0,7,n
0,3,H3A,17-Aug-19,W-littoral,5,0,0,0,0,5,n
0,3,H3A,17-Aug-19,W-shore,5,0,0,0,0,5,n
1,3,H3P,17-Aug-19,E-littoral,9,0,0,0,0,9,n
1,3,H3P,17-Aug-19,E-shore,9,3,0,0,0,12,n
1,3,H3P,17-Aug-19,N-littoral,49,0,0,0,0,49,y
1,3,H3P,17-Aug-19,N-shore,3,1,1,0,0,5,y
1,3,H3P,17-Aug-19,S-littoral,37,1,0,0,0,38,n
1,3,H3P,17-Aug-19,S-shore,1,0,0,0,0,1,n
1,3,H3P,17-Aug-19,W-littoral,12,0,0,0,0,12,y
1,3,H3P,17-Aug-19,W-shore,29,0,0,0,0,29,y
0,2,H2A,19-Aug-19,E-littoral,16,0,0,2,0,18,y
0,2,H2A,19-Aug-19,E-shore,90,14,0,0,0,104,n
0,2,H2A,19-Aug-19,N-littoral,11,1,0,0,0,12,y
0,2,H2A,19-Aug-19,N-shore,21,7,0,2,1,31,y
0,2,H2A,19-Aug-19,S-littoral,41,3,0,0,0,44,n
0,2,H2A,19-Aug-19,S-shore,74,2,0,1,1,78,y
0,2,H2A,19-Aug-19,W-littoral,34,0,0,0,0,34,y
0,2,H2A,19-Aug-19,W-shore,16,0,0,0,0,16,y
1,2,H2P,19-Aug-19,E-littoral,121,0,0,0,0,121,y
1,2,H2P,19-Aug-19,E-shore,8,0,0,0,0,8,n
1,2,H2P,19-Aug-19,N,28,0,0,0,0,28,y
1,2,H2P,19-Aug-19,N-shore,9,0,0,0,0,9,n
1,2,H2P,19-Aug-19,S littoral,19,1,0,0,0,20,n
1,2,H2P,19-Aug-19,S-shore,12,0,0,1,0,13,y
1,2,H2P,19-Aug-19,W,17,0,0,0,0,17,n
1,2,H2P,19-Aug-19,W-shore,5,0,0,0,0,5,n
0,1,H1A,21-Aug-19,E-littoral,103,0,0,0,0,103,n
0,1,H1A,21-Aug-19,E-shore,296,2,0,0,0,298,y
0,1,H1A,21-Aug-19,N-littoral,149,1,0,0,0,150,n
0,1,H1A,21-Aug-19,N-shore,38,10,0,0,0,48,n
0,1,H1A,21-Aug-19,S-littoral,14,0,0,1,0,15,n
0,1,H1A,21-Aug-19,S-shore,4,0,0,1,2,7,n
0,1,H1A,21-Aug-19,W-littoral,145,0,0,0,0,145,n
0,1,H1A,21-Aug-19,W-shore,40,1,0,0,0,41,y
1,1,H1P,21-Aug-19,E-littoral,77,0,0,0,0,77,n
1,1,H1P,21-Aug-19,E-shore,55,0,0,0,0,55,n
1,1,H1P,21-Aug-19,N-littoral,241,1,0,0,0,242,n
1,1,H1P,21-Aug-19,N-shore,21,0,0,0,0,21,n
1,1,H1P,21-Aug-19,S-littoral,13,0,0,0,0,13,n
1,1,H1P,21-Aug-19,S-shore,5,0,0,0,0,5,n
1,1,H1P,21-Aug-19,W-littoral,87,1,1,0,0,89,n
1,1,H1P,21-Aug-19,W-shore,4,0,0,0,0,4,n
0,1,H1A,29-Aug-19,E. 10:05 - SH,38,0,0,0,1,39,n
0,1,H1A,29-Aug-19,E. 10:15,691,0,0,0,0,691,n
0,1,H1A,29-Aug-19,N. SH 10:30,132,39,1,0,0,172,y
0,1,H1A,29-Aug-19,S. SH 9:40,13,0,0,0,2,15,n
0,1,H1A,29-Aug-19,S.9:40,63,0,0,0,0,63,n
0,1,H1A,29-Aug-19,W - littoral,31,0,0,1,0,32,y
0,1,H1A,29-Aug-19,W. SH 10:55,449,1,0,0,0,450,n
1,1,H1P,29-Aug-19,E-littoral,47,1,0,0,0,48,y
1,1,H1P,29-Aug-19,E-shore,2,1,0,0,0,3,n
1,1,H1P,29-Aug-19,N-littoral,6,0,0,0,0,6,n
1,1,H1P,29-Aug-19,N-shore,15,11,0,0,0,26,n
1,1,H1P,29-Aug-19,S-emerg 13:25,9,0,0,0,0,9,n
1,1,H1P,29-Aug-19,S-shoreline 13:23,9,0,0,0,0,9,n
1,1,H1P,29-Aug-19,W-littoral 12:57,20,0,0,0,0,20,n
1,1,H1P,29-Aug-19,W-shore,21,1,0,0,0,22,n
0,1,H1A,30-Aug-19,E. 16:00,950,0,0,0,0,950,n
0,1,H1A,30-Aug-19,E. SH 16:10,27,0,0,1,0,28,n
0,1,H1A,30-Aug-19,N. 16:36,67,1,0,0,0,68,n
0,1,H1A,30-Aug-19,N. SH 16:50,341,13,0,0,0,354,n
0,1,H1A,30-Aug-19,S shoreline,26,1,0,0,0,27,n
0,1,H1A,30-Aug-19,S. 15:10,158,0,0,2,0,160,n
0,1,H1A,30-Aug-19,W shore 17:20,1495,1,0,0,0,1496,n
0,1,H1A,30-Aug-19,W. 17:30,12,0,0,0,0,12,n
1,1,H1P,30-Aug-19,E-littoral 18:35,102,1,0,0,0,103,n
1,1,H1P,30-Aug-19,E-shore,21,16,0,1,0,38,y
1,1,H1P,30-Aug-19,N-littoral,27,0,0,0,0,27,n
1,1,H1P,30-Aug-19,N-shore,38,39,2,0,0,79,n
1,1,H1P,30-Aug-19,S-littoral,34,0,0,0,0,34,n
1,1,H1P,30-Aug-19,S-shore,25,0,0,3,0,28,n
1,1,H1P,30-Aug-19,W-littoral 19:13,45,1,0,0,0,46,n
1,1,H1P,30-Aug-19,W-shore 19:19,76,0,0,0,0,76,n
0,2,H2A,1-Sep-19,E-littoral,150,2,0,0,0,152,n
0,2,H2A,1-Sep-19,E-shore,61,0,0,0,1,62,n
0,2,H2A,1-Sep-19,N-emerg.,141,0,0,0,0,141,n
0,2,H2A,1-Sep-19,N-shore,5,0,0,0,0,5,n
0,2,H2A,1-Sep-19,S-emerg.,350,0,0,0,0,350,n
0,2,H2A,1-Sep-19,S-shore,79,0,0,1,0,80,y
0,2,H2A,1-Sep-19,W-emerg.,394,0,0,2,0,396,n
0,2,H2A,1-Sep-19,W-shore,81,0,0,0,1,82,n
1,2,H2P,1-Sep-19,E-emerg,18,0,0,0,0,18,n
1,2,H2P,1-Sep-19,E-shore,2,0,0,0,0,2,n
1,2,H2P,1-Sep-19,N-littoral,50,0,0,0,0,50,n
1,2,H2P,1-Sep-19,N-shore,3,0,0,0,0,3,n
1,2,H2P,1-Sep-19,S-littoral,16,0,0,0,0,16,n
1,2,H2P,1-Sep-19,S-shore,10,0,0,0,0,10,n
1,2,H2P,1-Sep-19,W-emerg.,50,0,0,0,0,50,y
1,2,H2P,1-Sep-19,W-shore,11,0,0,0,0,11,n
0,1,H1A,5-Sep-19,N 4m,128,0,0,0,0,128,n
0,1,H1A,5-Sep-19,N1,5,0,0,0,0,5,n
0,1,H1A,5-Sep-19,N2,8,0,0,0,0,8,n
0,1,H1A,5-Sep-19,N-shore,19,1,0,0,0,20,n
0,1,H1A,5-Sep-19,S 1 m,9,0,0,0,0,9,n
0,1,H1A,5-Sep-19,S 4m,17,0,0,0,0,17,n
0,1,H1A,5-Sep-19,S2,19,0,0,0,0,19,n
0,1,H1A,5-Sep-19,S-shore,17,2,0,0,0,19,n
