fish,block,lake,sample_date,trap,dip_chir_lg,dip_chir_med,dip_chir_sm,dip_tiny,dip_cranefly,dip_other,dip_sim_tot,dip_culic,cole_tot,hemip_tot,trichop,ephem,data_flag
0,2,H2A,14-Jul-19,N-littoral,0,0,3,0,0,0,0,0,0,2,0,0,n
0,2,H2A,14-Jul-19,SW,0,0,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,14-Jul-19,Trap 1,0,1,0,0,0,0,0,0,0,0,0,0,y
1,2,H2P,14-Jul-19,Trap 2,0,1,0,0,0,0,0,0,0,0,0,0,y
1,2,H2P,14-Jul-19,Trap 3,0,0,0,0,0,0,4,0,0,0,0,0,n
0,1,H1A,17-Jul-19,E-littoral,0,0,5,0,0,0,1,0,0,2,0,0,n
0,1,H1A,17-Jul-19,NW,0,1,0,0,0,0,0,0,0,0,0,0,y
0,1,H1A,17-Jul-19,SE. 3,0,0,0,0,0,0,3,0,0,0,0,0,n
0,1,H1A,17-Jul-19,S-littoral,0,0,4,0,0,1,0,0,0,0,0,0,n
1,1,H1P,18-Jul-19,1 litt,0,0,1,0,0,0,0,0,0,0,0,0,n
1,1,H1P,18-Jul-19,2 litt,0,0,1,1,0,0,0,1,0,0,0,0,n
1,1,H1P,18-Jul-19,3 litt,0,0,0,0,0,0,0,0,0,0,0,0,n
0,2,H2A,23-Jul-19,NW (3),0,0,0,0,0,0,0,0,0,0,0,0,n
0,2,H2A,23-Jul-19,S (4),0,0,0,0,0,0,0,0,0,0,0,0,n
0,2,H2A,23-Jul-19,SW-littoral,0,1,0,0,0,0,0,0,0,0,0,0,n
0,2,H2A,23-Jul-19,W-littoral,0,0,1,0,0,0,0,0,0,0,0,0,n
1,2,H2P,23-Jul-19,S1 emerg trap,0,1,0,0,0,0,0,0,0,0,0,0,y
1,2,H2P,23-Jul-19,S2-emerg.,0,4,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,23-Jul-19,SE,0,1,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,23-Jul-19,SW,0,1,0,1,0,0,0,0,0,0,0,0,n
0,1,H1A,25-Jul-19,E-littoral,0,1,2,0,0,0,0,0,0,0,0,0,n
0,1,H1A,25-Jul-19,N-littoral,1,2,10,0,0,0,3,0,0,0,0,0,n
0,1,H1A,25-Jul-19,S-littoral,0,0,0,0,0,0,1,0,0,0,0,0,n
0,1,H1A,25-Jul-19,W-littoral,0,0,0,0,0,0,1,0,0,0,0,0,n
1,1,H1P,25-Jul-19,E1,0,0,0,0,0,1,0,0,0,0,0,0,n
1,1,H1P,25-Jul-19,S1,0,0,2,0,0,0,0,0,0,0,0,0,n
1,1,H1P,25-Jul-19,SW1,0,2,0,1,0,0,1,0,0,0,0,0,n
1,1,H1P,25-Jul-19,SW2,0,0,0,0,0,0,1,0,0,0,0,0,n
0,3,H3A,1-Aug-19,E-littoral,0,7,1,0,0,0,2,0,0,0,3,0,n
0,3,H3A,1-Aug-19,E-shore,1,0,0,0,0,1,1,1,0,0,0,1,y
0,3,H3A,1-Aug-19,N-littoral,1,9,1,0,0,0,0,1,0,0,0,0,n
0,3,H3A,1-Aug-19,NW-shore,0,11,0,0,2,2,0,0,0,2,1,3,y
0,3,H3A,1-Aug-19,S-shore,0,0,0,3,0,1,2,1,0,0,1,0,y
0,3,H3A,1-Aug-19,W,0,0,0,0,0,0,0,5,0,0,0,0,n
1,3,H3P,1-Aug-19,E-littoral,0,0,0,0,0,0,1,0,0,0,0,0,n
1,3,H3P,1-Aug-19,N-littoral,0,5,0,0,0,0,2,0,0,0,0,0,y
1,3,H3P,1-Aug-19,S-littoral,15,0,0,0,0,0,0,0,0,0,0,0,n
1,3,H3P,1-Aug-19,W-littoral,1,0,0,0,0,0,0,1,0,0,0,0,n
0,2,H2A,3-Aug-19,E-littoral,0,4,0,0,0,0,0,0,0,0,0,0,n
0,2,H2A,3-Aug-19,E-shore,0,6,0,0,0,0,1,0,0,3,0,0,n
0,2,H2A,3-Aug-19,N-littoral,0,5,1,0,0,0,0,0,0,0,0,0,n
0,2,H2A,3-Aug-19,N-shore,2,0,0,1,0,0,0,0,0,0,0,0,n
0,2,H2A,3-Aug-19,S-littoral,0,4,9,0,0,1,0,0,0,0,0,0,y
0,2,H2A,3-Aug-19,S-shore,2,2,0,10,0,0,0,0,0,2,0,0,n
0,2,H2A,3-Aug-19,W-littoral,0,15,15,0,0,0,0,0,0,1,0,0,n
0,2,H2A,3-Aug-19,W-shore,0,0,3,0,0,0,0,0,0,1,0,0,n
1,2,H2P,3-Aug-19,E-littoral,0,5,12,4,0,0,0,0,0,1,0,0,n
1,2,H2P,3-Aug-19,E-shore,2,6,0,0,0,4,0,0,0,1,0,0,n
1,2,H2P,3-Aug-19,N-littoral,2,4,10,6,0,0,0,0,0,0,0,0,n
1,2,H2P,3-Aug-19,N-shore,0,7,13,0,0,0,0,0,0,0,0,0,n
1,2,H2P,3-Aug-19,S-littoral,5,5,16,6,0,0,0,0,0,0,0,0,n
1,2,H2P,3-Aug-19,S-shore,2,2,0,7,0,0,0,1,0,0,0,0,n
1,2,H2P,3-Aug-19,W,0,15,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,3-Aug-19,W-shore,0,3,4,3,0,0,0,0,0,0,0,0,n
0,1,H1A,4-Aug-19,E-littoral,4,0,11,0,0,0,0,0,0,0,0,0,n
0,1,H1A,4-Aug-19,E-shore,0,0,8,0,0,0,0,0,0,2,0,0,n
0,1,H1A,4-Aug-19,N-littoral,5,20,0,0,0,0,0,0,0,0,0,0,n
0,1,H1A,4-Aug-19,N-shore,0,3,0,0,0,0,0,0,0,0,0,0,n
0,1,H1A,4-Aug-19,S-littoral,0,6,0,0,0,0,0,0,0,0,0,0,n
0,1,H1A,4-Aug-19,S-shore,1,4,10,0,0,0,1,0,0,0,0,0,n
0,1,H1A,4-Aug-19,W-littoral,0,12,0,0,0,0,0,0,0,0,0,0,n
0,1,H1A,4-Aug-19,W-shore,0,0,0,0,0,0,0,0,0,0,0,0,n
1,1,H1P,4-Aug-19,E-littoral,0,4,0,0,0,0,0,0,0,0,0,0,n
1,1,H1P,4-Aug-19,N-littoral,2,0,0,0,0,0,0,0,0,0,0,0,n
1,1,H1P,4-Aug-19,W-littoral,2,2,0,0,0,0,0,0,0,0,0,0,y
0,2,H2A,9-Aug-19,E-littoral,0,17,29,0,0,0,0,1,0,0,0,0,n
0,2,H2A,9-Aug-19,E-shore,0,8,18,0,0,0,0,0,0,1,0,1,n
0,2,H2A,9-Aug-19,N-littoral,0,2,7,1,0,0,0,0,0,0,0,0,n
0,2,H2A,9-Aug-19,N-shore,0,1,0,0,0,0,0,0,0,0,0,0,n
0,2,H2A,9-Aug-19,S-littoral,0,0,19,0,0,0,0,0,0,0,0,0,n
0,2,H2A,9-Aug-19,S-shore,0,5,24,0,0,0,2,0,0,0,0,1,y
0,2,H2A,9-Aug-19,W-littoral,0,2,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,9-Aug-19,E-shore,3,0,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,9-Aug-19,N-littoral,0,2,1,0,0,0,0,0,0,0,0,0,n
1,2,H2P,9-Aug-19,N-shore,0,0,1,0,0,0,0,1,0,0,0,0,n
1,2,H2P,9-Aug-19,S-littoral,3,1,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,9-Aug-19,S-shore,1,0,2,0,0,0,0,0,0,0,0,0,y
1,2,H2P,9-Aug-19,W-littoral,0,12,0,0,0,0,1,0,0,0,0,0,n
0,3,H3A,10-Aug-19,E-littoral,0,0,3,0,0,0,0,0,0,0,0,0,n
0,3,H3A,10-Aug-19,E-shore,0,5,10,0,0,0,0,0,0,0,0,0,n
0,3,H3A,10-Aug-19,N-littoral,0,0,5,0,0,0,0,0,0,0,0,0,n
0,3,H3A,10-Aug-19,N-shore,0,0,6,0,0,0,2,1,0,0,0,0,n
0,3,H3A,10-Aug-19,S-littoral,0,1,2,0,0,0,0,0,0,0,0,0,n
