fish,block,lake,date,DOY,year,trap,dip_tot,hemip_tot,cole_tot,trichop,ephem,total,data_flag,date_off,days_to_solstice,max_hourly_temp,peaktemp,dailytemp,DSI,logtot,dailytemp_sq
0,2,H2A,2019-07-14,195,2019,N-littoral,3,2,0,0,0,5,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,0.9460222222222222,-11,1.791759469228055,0.8949580449382716
0,2,H2A,2019-07-14,195,2019,SW,0,0,0,0,0,0,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,0.9460222222222222,-11,0,0.8949580449382716
1,2,H2P,2019-07-14,195,2019,Trap 1,1,0,0,0,0,1,y,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,5.126288888888889,-2,0.6931471805599453,26.278837772345682
1,2,H2P,2019-07-14,195,2019,Trap 2,1,0,0,0,0,1,y,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,5.126288888888889,-2,0.6931471805599453,26.278837772345682
1,2,H2P,2019-07-14,195,2019,Trap 3,4,0,0,0,0,4,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,5.126288888888889,-2,1.6094379124341003,26.278837772345682
0,1,H1A,2019-07-17,198,2019,E-littoral,6,2,0,0,0,8,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,4.7473,-8,2.1972245773362196,22.53685729
0,1,H1A,2019-07-17,198,2019,NW,1,0,0,0,0,1,y,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,4.7473,-8,0.6931471805599453,22.53685729
0,1,H1A,2019-07-17,198,2019,SE. 3,3,0,0,0,0,3,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,4.7473,-8,1.3862943611198906,22.53685729
0,1,H1A,2019-07-17,198,2019,S-littoral,5,0,0,0,0,5,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,4.7473,-8,1.791759469228055,22.53685729
1,1,H1P,2019-07-18,199,2019,1 litt,1,0,0,0,0,1,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,3.9705777777777778,-10,0.6931471805599453,15.765487889382715
1,1,H1P,2019-07-18,199,2019,2 litt,3,0,0,0,0,3,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,3.9705777777777778,-10,1.3862943611198906,15.765487889382715
1,1,H1P,2019-07-18,199,2019,3 litt,0,0,0,0,0,0,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,3.9705777777777778,-10,0,15.765487889382715
0,2,H2A,2019-07-23,204,2019,NW (3),0,0,0,0,0,0,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,5.299739130434783,-2,0,28.087234850661627
0,2,H2A,2019-07-23,204,2019,S (4),0,0,0,0,0,0,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,5.299739130434783,-2,0,28.087234850661627
0,2,H2A,2019-07-23,204,2019,SW-littoral,1,0,0,0,0,1,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,5.299739130434783,-2,0.6931471805599453,28.087234850661627
0,2,H2A,2019-07-23,204,2019,W-littoral,1,0,0,0,0,1,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,5.299739130434783,-2,0.6931471805599453,28.087234850661627
1,2,H2P,2019-07-23,204,2019,S1 emerg trap,1,0,0,0,0,1,y,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,9.561391304347826,7,0.6931471805599453,91.42020367485821
1,2,H2P,2019-07-23,204,2019,S2-emerg.,4,0,0,0,0,4,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,9.561391304347826,7,1.6094379124341003,91.42020367485821
1,2,H2P,2019-07-23,204,2019,SE,1,0,0,0,0,1,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,9.561391304347826,7,0.6931471805599453,91.42020367485821
1,2,H2P,2019-07-23,204,2019,SW,2,0,0,0,0,2,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,9.561391304347826,7,1.0986122886681098,91.42020367485821
0,1,H1A,2019-07-25,206,2019,E-littoral,3,0,0,0,0,3,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,5.785617021276596,0,1.3862943611198906,33.47336431688547
0,1,H1A,2019-07-25,206,2019,N-littoral,16,0,0,0,0,16,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,5.785617021276596,0,2.833213344056216,33.47336431688547
0,1,H1A,2019-07-25,206,2019,S-littoral,1,0,0,0,0,1,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,5.785617021276596,0,0.6931471805599453,33.47336431688547
0,1,H1A,2019-07-25,206,2019,W-littoral,1,0,0,0,0,1,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,5.785617021276596,0,0.6931471805599453,33.47336431688547
1,1,H1P,2019-07-25,206,2019,E1,1,0,0,0,0,1,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,5.785617021276596,-3,0.6931471805599453,33.47336431688547
1,1,H1P,2019-07-25,206,2019,S1,2,0,0,0,0,2,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,5.785617021276596,-3,1.0986122886681098,33.47336431688547
1,1,H1P,2019-07-25,206,2019,SW1,4,0,0,0,0,4,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,5.785617021276596,-3,1.6094379124341003,33.47336431688547
1,1,H1P,2019-07-25,206,2019,SW2,1,0,0,0,0,1,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,5.785617021276596,-3,0.6931471805599453,33.47336431688547
0,3,H3A,2019-08-01,213,2019,E-littoral,10,0,0,3,0,13,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,15.861191489361703,16,2.6390573296152584,251.57739546220012
0,3,H3A,2019-08-01,213,2019,E-shore,4,0,0,0,1,5,y,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,15.861191489361703,16,1.791759469228055,251.57739546220012
0,3,H3A,2019-08-01,213,2019,N-littoral,12,0,0,0,0,12,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,15.861191489361703,16,2.5649493574615367,251.57739546220012
0,3,H3A,2019-08-01,213,2019,NW-shore,15,2,0,1,3,21,y,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,15.861191489361703,16,3.091042453358316,251.57739546220012
0,3,H3A,2019-08-01,213,2019,S-shore,7,0,0,1,0,8,y,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,15.861191489361703,16,2.1972245773362196,251.57739546220012
